algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
aco,15,456110,3104.0,2524875.0,222.6679007165564,30.299721967079677,1,
pso,15,456110,2826.0,2305533.0,202.95236291852356,30.465852131019346,1,
ntnsga2,16,599501,2657.0,2172192.0,190.33456636739191,30.022553205490112,1,1.0
nsga2,16,599501,2676.0,2187183.0,192.9325711386444,30.43697249307297,1,
ga,16,599501,3266.0,2652693.0,235.46729488057971,30.589716573944315,1,
aco,16,599501,3486.0,2826273.0,251.0253704044035,30.339608556008898,1,
pso,16,599501,2826.0,2305533.0,202.37347451157405,30.309775235014968,1,
ntnsga2,17,655658,2653.0,2169036.0,190.88798105891433,30.429036855697632,1,1.0
nsga2,17,655658,2702.0,2207697.0,193.85233893276347,30.18301760603208,1,
ga,17,655658,3171.0,2577738.0,225.5999639522763,30.539118087966926,1,
aco,17,655658,3560.0,2884659.0,257.61347014465156,30.203522945055738,1,
pso,17,655658,2826.0,2305533.0,202.7902431295074,30.277150838053785,1,
ntnsga2,18,602527,2712.0,2215587.0,193.85853935870279,30.88233733177185,1,1.0
nsga2,18,602527,2757.0,2251092.0,198.60517290399997,30.189667493104935,1,
ga,18,602527,3158.0,2567481.0,228.68794956697707,30.51463217800483,1,
aco,18,602527,3364.0,2730015.0,242.9725652665774,30.01952050800901,1,
pso,18,602527,2826.0,2305533.0,204.1103392167375,30.323630794067867,1,
ntnsga2,19,61701,2718.0,2220321.0,195.45996950020154,30.556607723236084,1,1.0
nsga2,19,61701,2685.0,2194284.0,192.54630943574938,30.598610969027504,1,
ga,19,61701,3192.0,2594307.0,231.92519276606163,30.48882072302513,1,
aco,19,61701,3283.0,2666106.0,236.6475629819535,30.055942600010894,1,
pso,19,61701,2826.0,2305533.0,202.00894719591702,30.465619532042183,1,
ntnsga2,20,67871,2751.0,2246358.0,197.63598341057553,30.45037293434143,1,1.0
nsga2,20,67871,2743.0,2240046.0,198.0401701034123,30.121232767007314,1,
ga,20,67871,3117.0,2535132.0,223.9228505168295,30.306685079005547,1,
aco,20,67871,3418.0,2772621.0,245.0802727791336,30.079791130963713,1,
pso,20,67871,2826.0,2305533.0,204.17284130351456,30.316752791055478,1,
ntnsga2,21,426574,2734.0,2232945.0,196.46525872594526,30.922460556030273,1,1.0
nsga2,21,426574,2722.0,2223477.0,197.29788800147062,30.299470036057755,1,
ga,21,426574,3212.0,2610087.0,230.5694518570084,30.209328999044374,1,
aco,21,426574,3268.0,2654271.0,235.245420734925,30.376523429062217,1,
pso,21,426574,2826.0,2305533.0,203.6818461234158,30.685155645944178,1,
ntnsga2,22,930392,2747.0,2243202.0,198.51459201411384,30.47251534461975,1,1.0
nsga2,22,930392,2722.0,2223477.0,196.21992234158407,30.482056632987224,1,
ga,22,930392,3157.0,2566692.0,226.50553833264763,30.193503934075125,1,
aco,22,930392,3535.0,2864934.0,254.58042240318963,30.111229876987636,1,
pso,22,930392,2826.0,2305533.0,203.27664266356032,30.514771273941733,1,
ntnsga2,23,33847,2789.0,2276340.0,200.59737554669528,30.365549325942993,1,1.0
nsga2,23,33847,2668.0,2180871.0,192.55782798085906,30.590602044016123,1,
ga,23,33847,3109.0,2528820.0,225.590921542543,30.33523550897371,1,
aco,23,33847,3560.0,2884659.0,255.30094702107664,30.436115760006942,1,
pso,23,33847,2826.0,2305533.0,205.90172955031622,30.79160259803757,1,
ntnsga2,24,619375,2707.0,2211642.0,195.5086547880422,30.635372400283813,1,1.0
nsga2,24,619375,2687.0,2195862.0,192.83024021010814,30.476662531960756,1,
ga,24,619375,3169.0,2576160.0,230.70389264406,30.259394128923304,1,
aco,24,619375,3308.0,2685831.0,239.65048994015447,30.469641154049896,1,
pso,24,619375,2826.0,2305533.0,202.30889178982744,30.45154187991284,1,
ntnsga2,25,993331,2742.0,2239257.0,198.21773018333081,30.533856630325317,1,1.0
nsga2,25,993331,2649.0,2165880.0,191.32344621960004,30.105864684912376,1,
ga,25,993331,3134.0,2548545.0,224.64840669420948,30.16948673001025,1,
aco,25,993331,3469.0,2812860.0,248.89149624514783,30.254519402049482,1,
pso,25,993331,2826.0,2305533.0,203.6333773890332,30.194852728047408,1,
ntnsga2,26,709245,2734.0,2232945.0,195.38725214032004,31.05323576927185,1,1.0
nsga2,26,709245,2651.0,2167458.0,191.86826554719093,30.55619272601325,1,
ga,26,709245,3345.0,2715024.0,239.68855055592093,30.342906206962653,1,
aco,26,709245,3161.0,2569848.0,224.69244305110982,30.252570135053247,1,
pso,26,709245,2826.0,2305533.0,203.48275838755097,30.61856346996501,1,
ntnsga2,27,232882,2747.0,2243202.0,198.30010208276101,30.748330116271973,1,1.0
nsga2,27,232882,2708.0,2212431.0,194.95420460737952,30.320828403928317,1,
ga,27,232882,3264.0,2651115.0,234.3938244842384,30.32041547598783,1,
aco,27,232882,3559.0,2883870.0,256.4917449289022,30.217262114980258,1,
pso,27,232882,2826.0,2305533.0,204.2453719937378,30.37330967199523,1,
ntnsga2,28,886625,2689.0,2197440.0,193.6089910979181,30.24589729309082,1,1.0
nsga2,28,886625,2685.0,2194284.0,195.64810797249515,30.593504076940008,1,
ga,28,886625,3191.0,2593518.0,230.54144118769233,30.547897423966788,1,
aco,28,886625,3090.0,2513829.0,224.06292383512982,30.075698419939727,1,
pso,28,886625,2826.0,2305533.0,201.8632071891584,30.61214799899608,1,
ntnsga2,29,265112,2709.0,2213220.0,195.60955674783557,30.014822483062744,1,1.0
nsga2,29,265112,2722.0,2223477.0,194.9805890770448,30.47878801007755,1,
ga,29,265112,3197.0,2598252.0,232.16634382654902,30.445085277897306,1,
aco,29,265112,3457.0,2803392.0,248.8641049047736,30.297423527925275,1,
pso,29,265112,2826.0,2305533.0,204.72200830391327,30.010517228976823,1,
